200C;zerowidthnonjoiner;ZERO WIDTH NON-JOINER
200D;zerowidthjoiner;ZERO WIDTH JOINER
20B9;indianrupee;INDIAN RUPEE SIGN
25CC;dottedcircle;DOTTED CIRCLE
#
2206;Delta.math;INCREMENT # AGLFN: Delta
2126;Omega.math;OHM SIGN # AGLFN: Omega
00B5;mu.math;MICRO SIGN # AGLFN: mu
#
# Adobe Latin 5
#
00A0;nonbreakingspace;NO-BREAK SPACE # uni00A0
00AD;softhyphen;SOFT HYPHEN # uni00AD
00B2;two.superior;SUPERSCRIPT TWO # twosuperior
00B3;three.superior;SUPERSCRIPT THREE # threesuperior
00B9;one.superior;SUPERSCRIPT ONE # onesuperior
0122;Gcommaaccent;LATIN CAPITAL LETTER G WITH CEDILLA # uni0122
0123;gcommaaccent;LATIN SMALL LETTER G WITH CEDILLA # uni0123
0136;Kcommaaccent;LATIN CAPITAL LETTER K WITH CEDILLA # uni0136
0137;kcommaaccent;LATIN SMALL LETTER K WITH CEDILLA # uni0137
013B;Lcommaaccent;LATIN CAPITAL LETTER L WITH CEDILLA # uni013B
013C;lcommaaccent;LATIN SMALL LETTER L WITH CEDILLA # uni013C
0145;Ncommaaccent;LATIN CAPITAL LETTER N WITH CEDILLA # uni0145
0146;ncommaaccent;LATIN SMALL LETTER N WITH CEDILLA # uni0146
0156;Rcommaaccent;LATIN CAPITAL LETTER R WITH CEDILLA # uni0156
0157;rcommaaccent;LATIN SMALL LETTER R WITH CEDILLA # uni0157
0162;Tcedilla;LATIN CAPITAL LETTER T WITH CEDILLA # uni0162
0163;tcedilla;LATIN SMALL LETTER T WITH CEDILLA # uni0163
0218;Scommaaccent;LATIN CAPITAL LETTER S WITH COMMA BELOW # uni0218
0219;scommaaccent;LATIN SMALL LETTER S WITH COMMA BELOW # uni0219
021A;Tcommaaccent;LATIN CAPITAL LETTER T WITH COMMA BELOW # uni021A
021B;tcommaaccent;LATIN SMALL LETTER T WITH COMMA BELOW # uni021B
0237;dotlessj;LATIN SMALL LETTER DOTLESS J # uni0237
02C9;macronmod;MODIFIER LETTER MACRON # uni02C9
1EBC;Etilde;LATIN CAPITAL LETTER E WITH TILDE # uni1EBC
1EBD;etilde;LATIN SMALL LETTER E WITH TILDE # uni1EBD
1EF8;Ytilde;LATIN CAPITAL LETTER Y WITH TILDE # uni1EF8
1EF9;ytilde;LATIN SMALL LETTER Y WITH TILDE # uni1EF9
20BA;turkishlira;TURKISH LIRA SIGN # uni20BA
20BD;ruble;RUBLE SIGN # uni20BD
2113;litre;SCRIPT SMALL L # uni2113
2215;divisionslash;DIVISION SLASH # uni2215
2219;bulletoperator;BULLET OPERATOR # uni2219
FB01;f_i;LATIN SMALL LIGATURE FI # fi
FB02;f_l;LATIN SMALL LIGATURE FL # fl
#END
