# Devanagari

dvA 0905
dvAA 0906
dvI 0907
dvII 0908
dvU 0909
dvUU 090A
dvvR 090B
dvvRR 0960
dvvL 090C
dvvLL 0961
dvE 090F
dvAI 0910
dvO 0913
dvAU 0914

dvAcandra 0972
dvEcandra 090D
dvOcandra 0911
dvAshort 0904
dvEshort 090E
dvOshort 0912
dvUE 0976
dvUUE 0977
dvOE 0973
dvOOE 0974
dvAW 0975

dvmAA 093E
dvmI 093F
dvmII 0940
dvmU 0941
dvmUU 0942
dvmvR 0943
dvmvRR 0944
dvmvL 0962
dvmvLL 0963
dvmE 0947
dvmAI 0948
dvmO 094B
dvmAU 094C

dvmEcandra 0945
dvmOcandra 0949
dvmEshort 0946
dvmOshort 094A
dvmUE 0956
dvmUUE 0957
dvmOE 093A
dvmOOE 093B
dvmAW 094F
dvmEprishthamatra 094E
dvmEcandralong 0955

dvKA 0915
dvKHA 0916
dvGA 0917
dvGHA 0918
dvNGA 0919
dvCA 091A
dvCHA 091B
dvJA 091C
dvJHA 091D
dvNYA 091E
dvTTA 091F
dvTTHA 0920
dvDDA 0921
dvDDHA 0922
dvNNA 0923
dvTA 0924
dvTHA 0925
dvDA 0926
dvDHA 0927
dvNA 0928
dvPA 092A
dvPHA 092B
dvBA 092C
dvBHA 092D
dvMA 092E
dvYA 092F
dvRA 0930
dvLA 0932
dvVA 0935
dvSHA 0936
dvSSA 0937
dvSA 0938
dvHA 0939

dvLLA 0933

dvGAbar 097B
dvJAbar 097C
dvDDAbar 097E
dvBAbar 097F
dvZHA 0979
dvYAheavy 097A
dvDDAmarwari 0978

dvKxA 0958
dvKHxA 0959
dvGxA 095A
dvJxA 095B
dvDDxA 095C
dvDDHxA 095D
dvNxA 0929
dvPHxA 095E
dvYxA 095F
dvRxA 0931
dvLLxA 0934

dvAnusvara 0902
dvCandrabindu 0901
dvVisarga 0903
dvVirama 094D
dvNukta 093C
dvAvagraha 093D

udatta 0951
anudatta 0952

dvGrave 0953
dvAcute 0954
dvHighspacingdot 0971
dvGlottalstop 097D
dvCandrabinduinverted 0900

dvOm 0950

dvZero 0966
dvOne 0967
dvTwo 0968
dvThree 0969
dvFour 096A
dvFive 096B
dvSix 096C
dvSeven 096D
dvEight 096E
dvNine 096F

dvAbbreviationsign 0970

danda 0964
doubledanda 0965

# Gujarati

gjA 0A85
gjAA 0A86
gjI 0A87
gjII 0A88
gjU 0A89
gjUU 0A8A
gjvR 0A8B
gjvRR 0AE0
gjvL 0A8C
gjvLL 0AE1
gjE 0A8F
gjAI 0A90
gjO 0A93
gjAU 0A94

gjEcandra 0A8D
gjOcandra 0A91

gjmAA 0ABE
gjmI 0ABF
gjmII 0AC0
gjmU 0AC1
gjmUU 0AC2
gjmvR 0AC3
gjmvRR 0AC4
gjmvL 0AE2
gjmvLL 0AE3
gjmE 0AC7
gjmAI 0AC8
gjmO 0ACB
gjmAU 0ACC

gjmEcandra 0AC5
gjmOcandra 0AC9

gjKA 0A95
gjKHA 0A96
gjGA 0A97
gjGHA 0A98
gjNGA 0A99
gjCA 0A9A
gjCHA 0A9B
gjJA 0A9C
gjJHA 0A9D
gjNYA 0A9E
gjTTA 0A9F
gjTTHA 0AA0
gjDDA 0AA1
gjDDHA 0AA2
gjNNA 0AA3
gjTA 0AA4
gjTHA 0AA5
gjDA 0AA6
gjDHA 0AA7
gjNA 0AA8
gjPA 0AAA
gjPHA 0AAB
gjBA 0AAC
gjBHA 0AAD
gjMA 0AAE
gjYA 0AAF
gjRA 0AB0
gjLA 0AB2
gjVA 0AB5
gjSHA 0AB6
gjSSA 0AB7
gjSA 0AB8
gjHA 0AB9

gjLLA 0AB3

gjZHA 0AF9

gjAnusvara 0A82
gjCandrabindu 0A81
gjVisarga 0A83
gjVirama 0ACD
gjNukta 0ABC
gjAvagraha 0ABD

gjOm 0AD0

gjZero 0AE6
gjOne 0AE7
gjTwo 0AE8
gjThree 0AE9
gjFour 0AEA
gjFive 0AEB
gjSix 0AEC
gjSeven 0AED
gjEight 0AEE
gjNine 0AEF

gjAbbreviationsign 0AF0
gjRupeesign 0AF1

# Gurmukhi

grA 0A05
grAA 0A06
grI 0A07
grII 0A08
grU 0A09
grUU 0A0A
grEE 0A0F
grAI 0A10
grOO 0A13
grAU 0A14

grIri 0A72
grUra 0A73

grmAA 0A3E
grmI 0A3F
grmII 0A40
grmU 0A41
grmUU 0A42
grmEE 0A47
grmAI 0A48
grmOO 0A4B
grmAU 0A4C

grKA 0A15
grKHA 0A16
grGA 0A17
grGHA 0A18
grNGA 0A19
grCA 0A1A
grCHA 0A1B
grJA 0A1C
