# Devanagari
#
0905;dvA;DEVANAGARI LETTER A
0906;dvAA;DEVANAGARI LETTER AA
0907;dvI;DEVANAGARI LETTER I
0908;dvII;DEVANAGARI LETTER II
0909;dvU;DEVANAGARI LETTER U
090A;dvUU;DEVANAGARI LETTER UU
090B;dvvR;DEVANAGARI LETTER VOCALIC R
0960;dvvRR;DEVANAGARI LETTER VOCALIC RR
090C;dvvL;DEVANAGARI LETTER VOCALIC L
0961;dvvLL;DEVANAGARI LETTER VOCALIC LL
090F;dvE;DEVANAGARI LETTER E
0910;dvAI;DEVANAGARI LETTER AI
0913;dvO;DEVANAGARI LETTER O
0914;dvAU;DEVANAGARI LETTER AU
#
0972;dvAcandra;DEVANAGARI LETTER CANDRA A
090D;dvEcandra;DEVANAGARI LETTER CANDRA E
0911;dvOcandra;DEVANAGARI LETTER CANDRA O
0904;dvAshort;DEVANAGARI LETTER SHORT A
090E;dvEshort;DEVANAGARI LETTER SHORT E
0912;dvOshort;DEVANAGARI LETTER SHORT O
0976;dvUE;DEVANAGARI LETTER UE
0977;dvUUE;DEVANAGARI LETTER UUE
0973;dvOE;DEVANAGARI LETTER OE
0974;dvOOE;DEVANAGARI LETTER OOE
0975;dvAW;DEVANAGARI LETTER AW
#
093E;dvmAA;DEVANAGARI VOWEL SIGN AA
093F;dvmI;DEVANAGARI VOWEL SIGN I
0940;dvmII;DEVANAGARI VOWEL SIGN II
0941;dvmU;DEVANAGARI VOWEL SIGN U
0942;dvmUU;DEVANAGARI VOWEL SIGN UU
0943;dvmvR;DEVANAGARI VOWEL SIGN VOCALIC R
0944;dvmvRR;DEVANAGARI VOWEL SIGN VOCALIC RR
0962;dvmvL;DEVANAGARI VOWEL SIGN VOCALIC L
0963;dvmvLL;DEVANAGARI VOWEL SIGN VOCALIC LL
0947;dvmE;DEVANAGARI VOWEL SIGN E
0948;dvmAI;DEVANAGARI VOWEL SIGN AI
094B;dvmO;DEVANAGARI VOWEL SIGN O
094C;dvmAU;DEVANAGARI VOWEL SIGN AU
#
0945;dvmEcandra;DEVANAGARI VOWEL SIGN CANDRA E
0949;dvmOcandra;DEVANAGARI VOWEL SIGN CANDRA O
0946;dvmEshort;DEVANAGARI VOWEL SIGN SHORT E
094A;dvmOshort;DEVANAGARI VOWEL SIGN SHORT O
0956;dvmUE;DEVANAGARI VOWEL SIGN UE
0957;dvmUUE;DEVANAGARI VOWEL SIGN UUE
093A;dvmOE;DEVANAGARI VOWEL SIGN OE
093B;dvmOOE;DEVANAGARI VOWEL SIGN OOE
094F;dvmAW;DEVANAGARI VOWEL SIGN AW
094E;dvmEprishthamatra;DEVANAGARI VOWEL SIGN PRISHTHAMATRA E
0955;dvmEcandralong;DEVANAGARI VOWEL SIGN CANDRA LONG E
#
0915;dvKA;DEVANAGARI LETTER KA
0916;dvKHA;DEVANAGARI LETTER KHA
0917;dvGA;DEVANAGARI LETTER GA
0918;dvGHA;DEVANAGARI LETTER GHA
0919;dvNGA;DEVANAGARI LETTER NGA
091A;dvCA;DEVANAGARI LETTER CA
091B;dvCHA;DEVANAGARI LETTER CHA
091C;dvJA;DEVANAGARI LETTER JA
091D;dvJHA;DEVANAGARI LETTER JHA
091E;dvNYA;DEVANAGARI LETTER NYA
091F;dvTTA;DEVANAGARI LETTER TTA
0920;dvTTHA;DEVANAGARI LETTER TTHA
0921;dvDDA;DEVANAGARI LETTER DDA
0922;dvDDHA;DEVANAGARI LETTER DDHA
0923;dvNNA;DEVANAGARI LETTER NNA
0924;dvTA;DEVANAGARI LETTER TA
0925;dvTHA;DEVANAGARI LETTER THA
0926;dvDA;DEVANAGARI LETTER DA
0927;dvDHA;DEVANAGARI LETTER DHA
0928;dvNA;DEVANAGARI LETTER NA
092A;dvPA;DEVANAGARI LETTER PA
092B;dvPHA;DEVANAGARI LETTER PHA
092C;dvBA;DEVANAGARI LETTER BA
092D;dvBHA;DEVANAGARI LETTER BHA
092E;dvMA;DEVANAGARI LETTER MA
092F;dvYA;DEVANAGARI LETTER YA
0930;dvRA;DEVANAGARI LETTER RA
0932;dvLA;DEVANAGARI LETTER LA
0935;dvVA;DEVANAGARI LETTER VA
0936;dvSHA;DEVANAGARI LETTER SHA
0937;dvSSA;DEVANAGARI LETTER SSA
0938;dvSA;DEVANAGARI LETTER SA
0939;dvHA;DEVANAGARI LETTER HA
#
0933;dvLLA;DEVANAGARI LETTER LLA
#
097B;dvGAbar;DEVANAGARI LETTER GGA
097C;dvJAbar;DEVANAGARI LETTER JJA
097E;dvDDAbar;DEVANAGARI LETTER DDDA
097F;dvBAbar;DEVANAGARI LETTER BBA
0979;dvZHA;DEVANAGARI LETTER ZHA
097A;dvYAheavy;DEVANAGARI LETTER HEAVY YA
0978;dvDDAmarwari;DEVANAGARI LETTER MARWARI DDA
#
0958;dvKxA;DEVANAGARI LETTER QA
0959;dvKHxA;DEVANAGARI LETTER KHHA
095A;dvGxA;DEVANAGARI LETTER GHHA
095B;dvJxA;DEVANAGARI LETTER ZA
095C;dvDDxA;DEVANAGARI LETTER DDDHA
095D;dvDDHxA;DEVANAGARI LETTER RHA
0929;dvNxA;DEVANAGARI LETTER NNNA
095E;dvPHxA;DEVANAGARI LETTER FA
095F;dvYxA;DEVANAGARI LETTER YYA
0931;dvRxA;DEVANAGARI LETTER RRA
0934;dvLLxA;DEVANAGARI LETTER LLLA
#
0902;dvAnusvara;DEVANAGARI SIGN ANUSVARA
0901;dvCandrabindu;DEVANAGARI SIGN CANDRABINDU
0903;dvVisarga;DEVANAGARI SIGN VISARGA
094D;dvVirama;DEVANAGARI SIGN VIRAMA
093C;dvNukta;DEVANAGARI SIGN NUKTA
093D;dvAvagraha;DEVANAGARI SIGN AVAGRAHA
#
0951;udatta;DEVANAGARI STRESS SIGN UDATTA
0952;anudatta;DEVANAGARI STRESS SIGN ANUDATTA
#
0953;dvGrave;DEVANAGARI GRAVE ACCENT
0954;dvAcute;DEVANAGARI ACUTE ACCENT
0971;dvHighspacingdot;DEVANAGARI SIGN HIGH SPACING DOT
097D;dvGlottalstop;DEVANAGARI LETTER GLOTTAL STOP
0900;dvCandrabinduinverted;DEVANAGARI SIGN INVERTED CANDRABINDU
#
0950;dvOm;DEVANAGARI OM
#
0966;dvZero;DEVANAGARI DIGIT ZERO
0967;dvOne;DEVANAGARI DIGIT ONE
0968;dvTwo;DEVANAGARI DIGIT TWO
0969;dvThree;DEVANAGARI DIGIT THREE
096A;dvFour;DEVANAGARI DIGIT FOUR
096B;dvFive;DEVANAGARI DIGIT FIVE
096C;dvSix;DEVANAGARI DIGIT SIX
096D;dvSeven;DEVANAGARI DIGIT SEVEN
096E;dvEight;DEVANAGARI DIGIT EIGHT
096F;dvNine;DEVANAGARI DIGIT NINE
